lokacija,sobno,nadstropje,leto,velikost,cena
"MB - CENTER, FORUM, CANKARJEVA ULICA",2-sobno,1,2001,"73,00 ","149.000,00"
"MB - CENTER, HEROJA ŠLANDRA 23",3-sobno,VP,2018,"79,02 ","151.000,00"
"MB - CENTER, MARIBOR",3-sobno,VP,1937,"106,00 ","159.000,00"
"MB - CENTER, MARIBOR","3,5-sobno",1,1937,"111,30 ","169.000,00"
"MB - CENTER, MARIBOR - KREKOVA ULICA",2-sobno,5,1968,"48,00 ","114.000,00"
"MB - CENTER, OB RIBNIKU, PARKU",3-sobno,1,1992,"93,00 ","230.000,00"
"MB - CENTER, V BLIŽINI MESTNEGA PARKA",2-sobno,2,1885,"81,20 ","157.000,00"
MELJE,2-sobno,2,1870,"60,10 ","91.000,00"
MELJE,"1,5-sobno",2,2020,"60,10 ","91.000,00"
MELJE,"2,5-sobno",2,1933,"85,60 ","119.900,00"
MIKLAVŽ NA DRAVSKEM POLJU,4-sobno,2,2008,"123,30 ","199.000,00"
NOVA VAS,2-sobno,4,1978,"57,50 ","105.000,00"
NOVA VAS,"2,5-sobno",4,1983,"71,30 ","126.584,66"
