lokacija,sobno,nadstropje,leto,velikost,cena
DOLGI MOST,2-sobno,3,1990,"57,00 ","130.000,00"
DOLGI MOST,2-sobno,2,2004,"66,10 ","229.000,00"
DOLGI MOST,2-sobno,2,2004,"66,11 ","229.000,00"
DOLGI MOST,3-sobno,2,2022,"73,00 ","353.000,00"
DOLGI MOST,3-sobno,1,2008,"100,10 ","299.000,00"
DOLGI MOST,4-sobno,M,1985,"108,50 ","264.500,00"
DOLGI MOST,3-sobno,2,1990,"122,50 ","318.000,00"
DOLGI MOST,5 in večsobno,1,2007,"151,00 ","485.000,00"
"DOLGI MOST, CESTA V GORICE",1-sobno,P,2006,"48,80 ","162.500,00"
"DOLGI MOST, ZADNJA ENOTA",Drugo,1,2022,"75,00 ","353.000,00"
DRAVELJSKA GMAJNA,3-sobno,2,1981,"77,00 ","299.000,00"
DRAVLJE,Garsonjera,11,1983,"17,00 ","64.000,00"
DRAVLJE,Garsonjera,VP,1974,"28,00 ","130.000,00"
DRAVLJE,2-sobno,1,2022,"49,83 ","249.000,00"
DRAVLJE,2-sobno,12,1986,"50,60 ","175.000,00"
DRAVLJE,2-sobno,2,2022,"52,12 ","259.000,00"
DRAVLJE,2-sobno,P,2022,"72,14 ","380.000,00"
DRAVLJE,2-sobno,M,1927,"73,80 ","235.000,00"
DRAVLJE,3-sobno,1,2011,"74,40 ","395.000,00"
DRAVLJE,3-sobno,2,1981,"77,40 ","310.000,00"
DRAVLJE,"2,5-sobno",P,1927,"78,90 ","259.000,00"
DRAVLJE,3-sobno,P,2021,"80,00 ","259.000,00"
DRAVLJE,3-sobno,1,1927,"81,20 ","255.000,00"
DRAVLJE,2-sobno,3,2022,"97,41 ","335.000,00"
ČRNUČE,3-sobno,K+P+M,2020,"158,16 ","370.000,00"
DRAVLJE,"2,5-sobno",1,2022,"75,12 ","311.000,00"
DRAVLJE,"2,5-sobno",2,2022,"75,77 ","320.000,00"
LJ. BEŽIGRAD,3-sobno,1,2021,"84,01 ","444.532,24"
LJ. BEŽIGRAD,3-sobno,2,2009,"84,90 ","620.000,00"
LJ. CENTER,3-sobno,8,1960,"73,70 ","285.000,00"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
